,feature_id,min_temp,max_temp,ln_total_precipitation
0,0x102078a5400d3e29:0xccdf4b5d4026488b,25.650000000000038,29.450000000000045,6.622310701470548
1,0x102354e509f894f7:0xc8fde921f89849f6,24.850000000000023,28.05000000000001,7.150795570810797
2,0x1023581bc6334887:0x1bb3a6db6f9f6878,25.450000000000045,28.650000000000038,7.235100274490294
3,0x102361980628a263:0xaec20944ccfbc4ee,25.450000000000045,28.850000000000023,7.112017698292934
4,0x1023e1c113185419:0x3224b5422caf411d,25.450000000000045,28.850000000000023,7.074573951322612
5,0x102464fe2cf40349:0x9ccfb20a4b0f917b,25.650000000000038,29.25,7.151689204903614
6,0x1024a81afbbf5e69:0x3dfbbae6ef02352f,25.450000000000045,28.650000000000038,7.235100274490294
7,0x1024a907d5334d9b:0xb28a9b10ccbc460a,25.450000000000045,28.650000000000038,7.235100274490294
8,0x10251b52758a930d:0x3d49c117e3f8c09f,25.650000000000038,30.25,6.993731119989407
9,0x10251c001c417837:0x8de8c06be6f95346,25.650000000000038,30.25,6.993731119989407
10,0x1026e2c4c9c46bf7:0x6126b27053282a83,24.650000000000038,28.850000000000023,7.332460764850563
11,0x102725152a227ba1:0x9da6ad4a4c9a2107,25.650000000000038,29.05000000000001,7.294947788702699
12,0x1027a8ee67aa0e8b:0x8745bc0e9eefd489,24.650000000000038,28.450000000000045,7.543178003177346
13,0x10294dc366c5cb3b:0x221133ef84b9b035,24.850000000000023,29.450000000000045,7.242940974077885
14,0x103094025fba5fdb:0x455d4accf31a7bdd,25.05000000000001,29.450000000000045,7.057966781857858
15,0x1030b0127530cdfd:0x2f2d6722c5443761,24.650000000000038,29.05000000000001,7.036904584271245
16,0x103117eb28589047:0xf4ac2b4615499590,24.850000000000023,29.25,6.970166539103534
17,0x10320550a556d695:0x706d4b90bc86232d,25.25,30.450000000000045,7.082078265664825
18,0x10350777507e1103:0x7318d1e568b5786a,26.650000000000038,32.85000000000002,6.663183780254307
19,0x1036528d9c605049:0xf59fa28215d71df1,24.850000000000023,30.05000000000001,6.693720120031919
20,0x1036aecb46a0f9d7:0x569be2ad6a2ef262,24.850000000000023,29.850000000000023,6.933228074955168
21,0x1036b5451015d1e1:0x2c2e7acacd8c1a6c,24.450000000000045,29.25,6.970110167728904
22,0x10370d45f7179427:0x3f70123a2b1a4e05,24.25,29.05000000000001,6.889122766834135
23,0x103759972eb09b09:0xd8438d5568aa2269,24.650000000000038,29.450000000000045,6.949760573127167
24,0x103778007f3cf03f:0xfadc3f137bdf5710,24.25,28.650000000000038,7.134269144401807
25,0x10377a2891e7f1ff:0x2820a8c897efd206,24.25,29.25,6.978903160100266
26,0x1037839a03d398c7:0xbcacc6edf201598c,24.25,28.650000000000038,7.134269144401807
27,0x103786c9c76904b7:0x7efd1011b0c24e7c,24.25,28.650000000000038,7.134269144401807
28,0x103787e4c949b8fd:0x33c62c1600f59277,24.25,28.650000000000038,7.134269144401807
29,0x10378dbf6f5514bd:0x30e4842f5e6eebc8,23.850000000000023,28.25,7.263707962153346
30,0x1037c084d765da3f:0xb432161be9eedf33,24.05000000000001,28.25,6.942929353989791
31,0x1038037c9c9aa8ff:0xa36f9b387caf635d,23.450000000000045,27.850000000000023,7.275227719580206
32,0x10381864e6a92e51:0x7d0b50fcef2f8ccf,24.05000000000001,28.450000000000045,7.317172566928729
33,0x103829b20138cf6d:0x3baebcd1703938b3,24.25,28.650000000000038,7.134269144401807
34,0x103837643f7c9463:0xdf9c1547fe8ff6d8,24.650000000000038,28.650000000000038,7.280214985476317
35,0x10386269d18b3449:0x4f347e4670cd572e,24.650000000000038,27.850000000000023,7.587259820500924
36,0x103897c275a4faf5:0x23ce91209af63653,24.850000000000023,28.25,7.612771740112172
